List of existing businesses in the database (each line correspond to a business):
id: 1, name: Sunrise Cafe, type: Cafe, address: street: Route de Meyrin 28c, postalCode: 1211, city: Geneva, state: Geneva, country: Switzerland, coordinates: 46.2160126, 6.125234086873063, openingHour: 08:00, closingHour: 18:00
id: 2, name: Mountain Gear, type: Sports Equipment, address: street: Route Des Montagnes 2.6, postalCode: 1273, city: Arzier-Le Muids, state: Vaud, country: Switzerland, coordinates: 46.504104, 6.152856, openingHour: 09:00, closingHour: 17:00
id: 3, name: Greifensee Flowers, type: Florist, address: street: Schützenweg 2, postalCode: 8606, city: Greifensee, state: Zurich, country: Switzerland, coordinates: 47.359337, 8.685699, openingHour: 10:00, closingHour: 18:00
id: 4, name: Alpine Books, type: Bookstore, address: street: Via Davos Pali 10.1, postalCode: 7185, city: Platta, state: Graubunden, country: Switzerland, coordinates: 46.645958, 8.844958, openingHour: 08:30, closingHour: 16:30
id: 5, name: Le Paquier Boutique, type: Clothing, address: street: Les Planches 6, postalCode: 2056, city: Val-de-Ruz, state: Neuchatel, country: Switzerland, coordinates: 47.086511, 6.964622, openingHour: 09:30, closingHour: 17:30
id: 6, name: Beinwil Bakery, type: Bakery, address: street: Ober Chratten 60, postalCode: 4229, city: Beinwil (SO), state: Solothurn, country: Switzerland, coordinates: 47.34558, 7.605554, openingHour: 08:00, closingHour: 18:00
id: 7, name: Surrein Groceries, type: Supermarket, address: street: Via Valtenigia 4, postalCode: 7173, city: Surrein, state: Graubunden, country: Switzerland, coordinates: 46.677405, 8.972045, openingHour: 09:00, closingHour: 18:00
id: 8, name: Schmitten Delicatessen, type: Delicatessen, address: street: Raglaunawäg 33, postalCode: 7493, city: Schmitten, state: Graubunden, country: Switzerland, coordinates: 46.702797, 9.673329, openingHour: 09:30, closingHour: 17:00
id: 9, name: Vermol's Electronics, type: Electronics, address: street: Tobelweg 6.2, postalCode: 8886, city: Mädris-Vermol, state: Saint Gallen, country: Switzerland, coordinates: 47.036869, 9.391379, openingHour: 08:00, closingHour: 16:00
id: 10, name: Meiringen Art Gallery, type: Art Gallery, address: street: Wirzen 556, postalCode: 3860, city: Unterbach, state: Bern, country: Switzerland, coordinates: 46.727531, 8.094582, openingHour: 10:00, closingHour: 17:00
id: 11, name: Habkern Books, type: Bookstore, address: street: Ällgäuli 895, postalCode: 3804, city: Habkern, state: Bern, country: Switzerland, coordinates: 46.775147, 7.900625, openingHour: 08:00 AM, closingHour: 04:00 PM
id: 12, name: Engelberg Groceries, type: Grocery Store, address: street: Ristis 1, postalCode: 6390, city: Engelberg, state: Obwalden, country: Switzerland, coordinates: 46.83241, 8.407776, openingHour: 09:00 AM, closingHour: 06:00 PM
id: 13, name: Hinterrhein Café, type: Café, address: street: Rheinquellstrasse 9.1, postalCode: 7438, city: Hinterrhein, state: Graubunden, country: Switzerland, coordinates: 46.52023, 9.174977, openingHour: 08:30 AM, closingHour: 05:30 PM
id: 14, name: Saxon Bakery, type: Bakery, address: street: Chemin De La Mouillire 3, postalCode: 1907, city: Saxon, state: Valais, country: Switzerland, coordinates: 46.142496, 7.185842, openingHour: 08:00 AM, closingHour: 02:00 PM
id: 15, name: Bürglen Fashion, type: Clothing Store, address: street: Aussere Bittleten 1.1, postalCode: 6463, city: Bürglen, state: Uri, country: Switzerland, coordinates: 46.882125, 8.656187, openingHour: 09:00 AM, closingHour: 05:00 PM
id: 16, name: Sta. Maria Val Müstair Gifts, type: Gift Shop, address: street: Via Alp Sprella 3, postalCode: 7536, city: Sta. Maria Val Müstair, state: Graubunden, country: Switzerland, coordinates: 46.591919, 10.300121, openingHour: 10:00 AM, closingHour: 06:00 PM
id: 17, name: Frasco Hardware, type: Hardware Store, address: street: Vald 3, postalCode: 6636, city: Frasco, state: Ticino, country: Switzerland, coordinates: 46.371025, 8.79948, openingHour: 08:30 AM, closingHour: 04:00 PM
id: 18, name: Sudern Electronics, type: Electronics Store, address: street: Vorder Naters 144f, postalCode: 3618, city: Sudern, state: Bern, country: Switzerland, coordinates: 46.83542, 7.767051, openingHour: 09:00 AM, closingHour: 06:00 PM
id: 19, name: Schongau Flowers, type: Florist, address: street: Mülihalde 8, postalCode: 6288, city: Schongau, state: Lucerne, country: Switzerland, coordinates: 47.2664744, 8.266108702286989, openingHour: 08:30 AM, closingHour: 05:30 PM
id: 20, name: Gadmen Toys, type: Toy Store, address: street: Mettlenberg 247, postalCode: 3863, city: Innertkirchen, state: Bern, country: Switzerland, coordinates: 46.747816, 8.374036, openingHour: 08:00 AM, closingHour: 04:00 PM
id: 21, name: Le Noirmont Bakery, type: Bakery, address: street: Sur Le Gez 3044, postalCode: 2340, city: Le Noirmont, state: Jura, country: Switzerland, coordinates: 47.200138, 6.926015, openingHour: 09:00, closingHour: 17:00
id: 22, name: Cumpadials Grocery, type: Grocery, address: street: Via Bostg 12, postalCode: 7176, city: Cumpadials, state: Graubunden, country: Switzerland, coordinates: 46.704392, 8.91737, openingHour: 08:00, closingHour: 18:00
id: 23, name: Belpberg Cafe, type: Cafe, address: street: Hofstetten 44f, postalCode: 3124, city: Belp, state: Bern, country: Switzerland, coordinates: 46.854827, 7.522176, openingHour: 10:00, closingHour: 16:00
id: 24, name: Icogne Market, type: Market, address: street: Chemin Er De Lens 35, postalCode: 1977, city: Icogne, state: Valais, country: Switzerland, coordinates: 46.347507, 7.470826, openingHour: 09:00, closingHour: 17:00
id: 25, name: Unterseen Pharmacy, type: Pharmacy, address: street: Stollen 20, postalCode: 3800, city: Unterseen, state: Bern, country: Switzerland, coordinates: 46.71173, 7.841418, openingHour: 08:00, closingHour: 18:00
id: 26, name: Zeihen Hardware, type: Hardware Store, address: street: Bahnhofstrasse 37, postalCode: 5079, city: Zeihen, state: Aargau, country: Switzerland, coordinates: 47.480034, 8.091674, openingHour: 09:00, closingHour: 17:00
id: 27, name: Ried-Brig Florist, type: Florist, address: street: Neue Dorfstrasse 3, postalCode: 3911, city: Ried-Brig, state: Valais, country: Switzerland, coordinates: 46.31368, 8.014141, openingHour: 08:00, closingHour: 18:00
